,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,poisson_rate,total_time
22,-24.2,25.0,25.1,-24.0,25.2,25.2,-23.8,-23.8,-23.7,-23.7,25.5,25.5,-23.5,25.7,-23.3,-23.3,25.8,-23.1,25.9,-0.336094057565548,1002.54
23,24.2,-25.0,24.1,-25.1,-25.1,-25.2,23.8,23.8,23.7,-25.5,-25.5,23.5,23.5,23.4,23.3,-25.8,-25.8,-25.9,23.1,-0.33609407091351995,1002.54
24,25.9,-23.1,25.8,-23.3,-23.3,25.7,-23.5,25.5,-23.6,-23.6,25.4,25.3,-23.9,25.2,-24.0,-24.0,25.0,-24.2,24.9,-0.336094083440672,1002.54
25,23.1,-25.9,23.2,23.3,-25.7,-25.7,-25.6,-25.5,23.6,23.7,-25.4,23.8,23.8,23.9,-25.1,24.0,24.1,-25.0,-24.9,-0.336094159093899,1002.54
26,-24.2,-24.1,25.0,25.1,25.1,25.2,-23.8,-23.8,-23.7,25.4,25.5,-23.5,25.6,-23.4,-23.3,-23.3,-23.2,25.9,26.0,-0.3360941935282836,1002.54
27,23.1,-25.9,-25.8,-25.8,23.4,23.4,23.5,23.5,23.6,-25.4,-25.4,23.8,-25.3,-25.2,-25.1,24.0,24.1,24.1,-24.9,-0.33609419924287715,1002.54
28,23.1,-25.9,-25.8,-25.8,23.4,23.4,23.5,23.5,23.6,-25.4,-25.4,-25.3,23.8,-25.2,24.0,-25.1,24.1,24.1,-24.9,-0.3360942664628998,1002.54
29,24.2,-25.0,-25.1,24.0,24.0,-25.2,-25.3,23.8,23.7,-25.4,-25.5,23.5,-25.6,23.4,23.3,23.3,23.2,-25.9,-25.9,-0.3360942806774672,1002.54
30,-24.2,25.0,-24.1,25.1,25.2,-23.9,25.3,-23.8,-23.7,25.4,25.5,-23.5,25.6,-23.4,-23.3,-23.3,-23.2,25.9,25.9,-0.33609431133599343,1002.54
31,-25.5,23.6,-25.5,23.6,23.6,-25.5,23.6,-25.5,-25.4,23.6,23.6,23.6,-25.5,23.6,-25.4,23.6,-25.4,-25.4,23.7,-0.3361666681782248,1002.54
32,-23.7,-23.7,25.4,-23.7,25.4,25.4,25.4,-23.7,-23.7,25.4,-23.7,25.4,-23.7,25.4,-23.7,25.5,25.4,-23.7,-23.7,-0.3361670481159016,1002.54
33,25.5,-23.6,25.4,-23.6,25.4,-23.6,-23.6,25.4,25.4,-23.7,-23.7,25.4,-23.7,-23.7,-23.7,25.4,25.4,-23.7,25.4,-0.3361675195349698,1002.54
34,23.6,-25.5,-25.5,23.6,23.6,23.6,-25.5,23.6,-25.5,-25.5,-25.5,-25.5,23.6,23.6,23.7,23.6,-25.4,23.7,-25.4,-0.33616758820318043,1002.54
35,-23.7,-23.7,25.4,25.4,-23.7,25.4,-23.7,25.4,-23.6,25.4,25.4,-23.6,-23.6,25.5,-23.6,25.5,-23.6,25.5,-23.6,-0.33616761162785774,1002.54
36,23.7,23.7,-25.4,-25.4,-25.4,-25.4,23.7,23.7,-25.4,23.6,23.7,23.6,-25.5,23.6,-25.5,23.6,-25.5,-25.5,23.6,-0.33616763634560864,1002.54
